Date,ADA,WMT
12/19/2023,0.5766,0.17678556
12/20/2023,0.589329,0.1786256199
12/21/2023,0.636599,0.1862688674
12/22/2023,0.624216,0.1813971696
12/23/2023,0.614548,0.1756378184
12/24/2023,0.593955,0.1712372265
12/25/2023,0.625721,0.1693826747
12/26/2023,0.608799,0.1665065265
12/27/2023,0.633535,0.1697240265
12/28/2023,0.617422,0.167321362
12/29/2023,0.608494,0.1583301388
12/30/2023,0.601964,0.1527182668
12/31/2023,0.594205,0.1533643105
01/01/2024,0.62311,0.161697045
01/02/2024,0.605667,0.1589875875
01/03/2024,0.557286,0.140157429
01/04/2024,0.570567,0.1452663582
01/05/2024,0.541242,0.138828573
01/06/2024,0.523103,0.1329204723
01/07/2024,0.494174,0.1275463094
01/08/2024,0.540936,0.15010974
01/09/2024,0.511527,0.1412326047
01/10/2024,0.566647,0.1626843537
01/11/2024,0.582179,0.1658045792
01/12/2024,0.547333,0.1574129708
01/13/2024,0.549336,0.1624935888
01/14/2024,0.525981,0.1532182653
01/15/2024,0.528161,0.1489942181
01/16/2024,0.535676,0.150524956
01/17/2024,0.527029,0.1440370257
01/18/2024,0.501874,0.1358071044
01/19/2024,0.503151,0.1378130589
01/20/2024,0.515005,0.1473429305
01/21/2024,0.503105,0.14791287
01/22/2024,0.478502,0.140440337
01/23/2024,0.476749,0.1402595558
01/24/2024,0.476296,0.1446034656
01/25/2024,0.466479,0.1514190834
01/26/2024,0.485294,0.1583514322
01/27/2024,0.486321,0.1622853177
01/28/2024,0.489719,0.1617052138
01/29/2024,0.525275,0.169873935
01/30/2024,0.514165,0.1704456975
01/31/2024,0.498256,0.1632286656
02/01/2024,0.507023,0.1654923072
02/02/2024,0.513958,0.1659056424
02/03/2024,0.512861,0.165654103
02/04/2024,0.494256,0.1585078992
02/05/2024,0.49334,0.1578688
02/06/2024,0.498463,0.1576638469
02/07/2024,0.501773,0.1594132821
02/08/2024,0.529269,0.1618504602
02/09/2024,0.540792,0.163048788
02/10/2024,0.551412,0.1661404356
02/11/2024,0.54141,0.163235115
02/12/2024,0.560031,0.1661051946
02/13/2024,0.544996,0.1628448048
02/14/2024,0.577302,0.1704195504
02/15/2024,0.608363,0.1741743269
02/16/2024,0.598872,0.178763292
02/17/2024,0.608346,0.1762986708
02/18/2024,0.618734,0.1788759994
02/19/2024,0.631063,0.1858480535
02/20/2024,0.622165,0.186898366
02/21/2024,0.598458,0.1848038304
02/22/2024,0.585902,0.1835045064
02/23/2024,0.583242,0.1791719424
02/24/2024,0.596696,0.1817536016
02/25/2024,0.591379,0.1903057622
02/26/2024,0.619736,0.2008564376
02/27/2024,0.624216,0.20443074
02/28/2024,0.631059,0.2133610479
02/29/2024,0.655646,0.2082331696
03/01/2024,0.719081,0.2252880773
03/02/2024,0.740928,0.2321327424
03/03/2024,0.728238,0.2350752264
03/04/2024,0.771294,0.2612372778
03/05/2024,0.69349,0.235231808
03/06/2024,0.733821,0.235556541
03/07/2024,0.744742,0.2415198306
03/08/2024,0.724854,0.2396367324
03/09/2024,0.743713,0.2511518801
03/10/2024,0.717227,0.2498101641
03/11/2024,0.77419,0.286759976
03/12/2024,0.748055,0.281867124
03/13/2024,0.76458,0.287405622
03/14/2024,0.750474,0.2677691232
03/15/2024,0.726441,0.2619546246
03/16/2024,0.659535,0.2377623675
03/17/2024,0.681099,0.243152343
03/18/2024,0.661258,0.2425494344
03/19/2024,0.586914,0.2081783958
03/20/2024,0.639481,0.222539388
03/21/2024,0.631868,0.2238076456
03/22/2024,0.613263,0.2246382369
03/23/2024,0.625862,0.2204285964
03/24/2024,0.646157,0.2288041937
03/25/2024,0.656949,0.2317716072
03/26/2024,0.665034,0.2290377096
03/27/2024,0.648483,0.2210030064
03/28/2024,0.650794,0.2215302776
03/29/2024,0.664403,0.2254319379
03/30/2024,0.644366,0.2185045106
03/31/2024,0.650427,0.2336333784
04/01/2024,0.621684,0.2227493772
04/02/2024,0.580987,0.2351254389
04/03/2024,0.571278,0.2659870368
04/04/2024,0.582955,0.3314099175
04/05/2024,0.574834,0.3082259908
04/06/2024,0.584338,0.346804603
